Churn (con),customer_gender (nom),customer_SeniorCitizen (con),customer_Partner (con),customer_Dependents (con),customer_tenure (con),phone_PhoneService (con),phone_MultipleLines (con),internet_InternetService (nom),internet_OnlineSecurity (con),internet_OnlineBackup (con),internet_DeviceProtection (con),internet_TechSupport (con),internet_StreamingTV (con),internet_StreamingMovies (con),account_Contract (nom),account_PaperlessBilling (con),account_PaymentMethod (nom),account_Charges_Monthly (con),account_Charges_Total (con),account_Charges_Daily (con)
1.0,0.005137484245462561,0.1445644141139608,-0.13878185821231917,-0.1532683669562608,-0.3342572783546092,0.008845270228250901,0.03199752236047139,0.30458771359081416,-0.3232417332071499,-0.251457773737471,-0.23925785854217987,-0.3180926980559715,-0.1203563753938271,-0.12208920411768126,0.39083008222570537,0.18457450164536857,0.28888631750596216,0.18030605231531394,-0.18902672934302883,0.18030605231531394
0.005137484245462561,1.0,0.004288396517546311,0.005006521619164935,0.012037750791546073,0.005764790129564417,0.005073273603791453,0.004704944302123279,0.0,0.010126477002448165,0.007671569329047348,0.002631672596644968,0.0030521657562591264,0.0030703973403253823,0.007100020215373213,0.0,0.011272601725373888,0.005340481811256062,0.013889031693112001,0.00036650808177742585,0.013889031693111955
0.1445644141139608,0.004288396517546311,1.0,0.02297046830844307,-0.21295155556993328,0.018187394352005285,0.010060344423640507,0.13692343597088674,0.2651435033692912,-0.1850596918967135,-0.0860081839463925,-0.094147526171041,-0.2046358491200901,-0.05099413004946713,-0.035229287203847735,0.14201561379348815,0.15773415345668704,0.1956203586260896,0.2203876725687932,0.10407557369921017,0.2203876725687932
-0.13878185821231917,0.005006521619164935,0.02297046830844307,1.0,0.4489000224351728,0.37755144535321244,0.018827555556631455,0.12838231535072334,0.003278275618487776,0.12812916235129684,0.1339946649642756,0.14685745693343585,0.10578502566047811,0.12427861487371257,0.1156908021408371,0.2932890177726601,-0.011200738823181173,0.1614925768196181,0.09712192742513034,0.3154085378908039,0.09712192742513032
-0.1532683669562608,0.012037750791546073,-0.21295155556993328,0.4489000224351728,1.0,0.15989227430431205,-0.0038626069465754493,-0.025279753638002313,0.18283868095578493,0.19327422135027422,0.14100610722868387,0.13241495880370918,0.17418908276039022,0.10496592841396186,0.0800661850958612,0.2428485240644851,-0.11175183480071262,0.15191618759930617,-0.11583216569139934,0.06147438545295683,-0.11583216569139934
-0.3342572783546092,0.005764790129564417,0.018187394352005285,0.37755144535321244,0.15989227430431205,1.0,0.010204802561855845,0.32177832834561915,0.03724042518238733,0.2651990251101362,0.31527951790319036,0.3151901230175672,0.26167907083364994,0.2476685110121451,0.25461598643795735,0.6767183611048231,0.007949489713785604,0.39934342135238615,0.24798210080733543,0.8254073969318322,0.24798210080733535
0.008845270228250901,0.005073273603791453,0.010060344423640507,0.018827555556631455,-0.0038626069465754493,0.010204802561855845,1.0,-0.31600615031467616,0.45498922771584793,0.05849082362146046,0.09399261534126142,0.07405715246516777,0.05434317211689639,0.12068800496741403,0.1118785387253183,0.0038977075582124344,0.013624419569115488,0.012293546596288693,0.2467092807361692,0.11398513550697596,0.24670928073616916
0.03199752236047139,0.004704944302123279,0.13692343597088674,0.12838231535072334,-0.025279753638002313,0.32177832834561915,-0.31600615031467616,1.0,0.3143725285931087,-0.11801133045939077,-0.034060402819541764,-0.025306987356416184,-0.11553881479285134,0.00629720404688219,0.013915523405668779,0.1070180355898751,0.1532512491550415,0.22304376316566568,0.3386765482963533,0.39536434876037424,0.3386765482963533
0.30458771359081416,0.0,0.2651435033692912,0.003278275618487776,0.18283868095578493,0.03724042518238733,0.45498922771584793,0.3143725285931087,1.0,0.556342998490908,0.4655848189422528,0.46708299261802805,0.5502433644918769,0.45522414617863965,0.4504626170189311,0.206997393564493,0.38074818832673096,0.3143437249168,0.906370351164722,0.431259582945334,0.9063703511647219
-0.3232417332071499,0.010126477002448165,-0.1850596918967135,0.12812916235129684,0.19327422135027422,0.2651990251101362,0.05849082362146046,-0.11801133045939077,0.556342998490908,1.0,0.38120275796946756,0.37301826390869625,0.4720938820395751,0.2592415561190571,0.26803599298656083,0.4236354798422664,-0.26928238878718463,0.34445616791001077,-0.36066214377794037,0.06363233935447085,-0.36066214377794026
-0.251457773737471,0.007671569329047348,-0.0860081839463925,0.1339946649642756,0.14100610722868387,0.31527951790319036,0.09399261534126142,-0.034060402819541764,0.4655848189422528,0.38120275796946756,1.0,0.3649109056647965,0.38421898854311765,0.31778050371597466,0.3094113192282485,0.35331250092808064,-0.14417571189157216,0.23887458590090116,-0.2108495756522849,0.17864681142712396,-0.2108495756522849
-0.23925785854217987,0.002631672596644968,-0.094147526171041,0.14685745693343585,0.13241495880370918,0.3151901230175672,0.07405715246516777,-0.025306987356416184,0.46708299261802805,0.37301826390869625,0.3649109056647965,1.0,0.4198671420303871,0.4245625276881049,0.43056735775136656,0.41490793685719735,-0.1691070312908418,0.24022271716545657,-0.17244089158873968,0.1892528750671587,-0.17244089158873968
-0.3180926980559715,0.0030521657562591264,-0.2046358491200901,0.10578502566047811,0.17418908276039022,0.26167907083364994,0.05434317211689639,-0.11553881479285134,0.5502433644918769,0.4720938820395751,0.38421898854311765,0.4198671420303871,1.0,0.3477283658165819,0.34703576570928957,0.46664291589578333,-0.23368019448086683,0.3455643956059204,-0.32329108749218227,0.08159491109584133,-0.32329108749218227
-0.1203563753938271,0.0030703973403253823,-0.05099413004946713,0.12427861487371257,0.10496592841396186,0.2476685110121451,0.12068800496741403,0.00629720404688219,0.45522414617863965,0.2592415561190571,0.31778050371597466,0.4245625276881049,0.3477283658165819,1.0,0.536025956850244,0.30970480112282084,-0.05035480038815586,0.09867547569182876,-0.018943036868164044,0.19678301241190987,-0.018943036868164047
